day_of_week,member_casual,rides,avg_length
Sunday,casual,46795,41.18044377960609
Sunday,member,56304,16.34472387989012
Monday,casual,30692,38.77744580563882
Monday,member,65706,14.445210229405737
Tuesday,casual,33728,37.77364059535105
Tuesday,member,71683,14.025812954256937
Wednesday,casual,24091,33.40541834433329
Wednesday,member,65959,13.661752502817407
Thursday,casual,21227,25.80813115371932
Thursday,member,62062,12.979284156703512
Friday,casual,35038,37.97170310329737
Friday,member,72914,13.821370838704958
Saturday,casual,57302,39.990813584168095
Saturday,member,68668,16.03122220927749
